UMAP 0,UMAP 1,cell_type,gene_0,gene_1,gene_2,gene_3,gene_4,gene_5,gene_6,gene_7
14.551926,17.31659,Naive CD20+ B IGKC+,IGKC,CD79A,HLA-DRA,IGHM,CD74,IGHD,HLA-DRB1,HLA-DPA1
-17.52399,-6.5319705,CD14+ Mono,LYZ,S100A8,S100A9,NEAT1,FCN1,AC020916.1,MNDA,AC020656.1
16.113268,15.799202,Naive CD20+ B IGKC+,IGKC,IGHM,IGHD,HLA-DRA,CD74,TCL1A,CD79B,HLA-DRB1
-11.177204,14.589613,Reticulocyte,MALAT1,HBA2,HBB,HBM,HBD,HBA1,AHSP,TPT1
-2.2839336,6.592557,Normoblast,HBD,CA1,HBM,HBB,AHSP,HBA2,SLC25A37,HBA1
-16.256735,-5.582346,CD14+ Mono,S100A9,S100A8,LYZ,FCN1,AC020656.1,S100A12,MNDA,CST3
-2.678516,-12.422279,CD4+ T naive,CD69,IL7R,JUNB,FOS,TNFAIP3,H1FX,MALAT1,ARL4C
-2.4989867,5.9023113,Normoblast,HBM,CA1,SLC25A37,HBD,HBB,AHSP,CA2,HBA1
0.8815582,5.348791,Erythroblast,HBD,HBB,HBM,HBA1,HBA2,AHSP,HMGB2,CA1
-1.8802818,-15.6778965,CD4+ T naive,FOS,IL7R,FOSB,AL499604.1,JUNB,TRBC1,ARL4C,HIST1H4C
16.35572,16.26353,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,HLA-DRB1,HLA-DQA1,HLA-DPB1,CD79B
15.322682,-3.2098722,NK,NKG7,GNLY,CCL4,CTSW,CLIC3,ID2,TYROBP,FCER1G
13.899849,13.180038,Naive CD20+ B IGKC-,IGHM,HLA-DRA,MS4A1,CD74,CD79B,CD37,CD79A,IGLC2
15.466594,-2.092131,NK,GNLY,CCL4,NKG7,GZMB,KLRD1,TYROBP,CTSW,CCL3
16.373901,16.511635,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,CD79A,HLA-DRB1,HLA-DPB1,CD79B
-4.801012,-10.325262,CD4+ T activated,SAT1,ANXA1,FOSB,PRKCQ-AS1,NEAT1,GPR183,AP3M2,CRYBG1
-12.415205,14.186443,Reticulocyte,MALAT1,HBD,CA1,HBA2,HBB,HBA1,TPT1,AHSP
-0.94425035,-14.597506,CD4+ T naive,ID2,PCED1B-AS1,JUNB,MALAT1,CD69,PRKCQ-AS1,IL7R,TRAT1
14.354509,11.747305,Naive CD20+ B IGKC-,IGLC2,IGHM,HLA-DRA,CD74,IGHD,CD79A,TCL1A,SAT1
-2.0306344,-5.75914,CD4+ T activated,IL7R,KLRB1,JUN,CCL5,AL627171.2,MALAT1,FOS,CD69
0.77326864,-12.974309,CD4+ T naive,AL499604.1,H1FX,IL7R,TNFAIP3,BCL11B,GPR183,JUN,HBA2
-0.5791705,-13.22693,CD4+ T naive,JUNB,ARL4C,IRF1,TPT1,H1FX,HBA2,GIMAP7,TRAC
-16.953758,12.233749,Reticulocyte,MALAT1,HBA2,HBB,HBA1,TPT1,FOS,HBD,HIST1H4C
15.789537,11.222488,Naive CD20+ B IGKC-,IGLC2,IGHM,CD74,HLA-DRA,TCL1A,HLA-DRB1,HLA-DQA1,CD79A
-16.40805,-6.281773,CD14+ Mono,S100A9,S100A8,LYZ,NEAT1,FCN1,VCAN,CTSS,MNDA
14.338693,15.13236,Naive CD20+ B IGKC+,IGKC,IGHM,CD74,HLA-DRA,IGHD,CD79B,MS4A1,CD79A
12.456902,13.485731,Naive CD20+ B IGKC-,IGLC2,IGHM,CD79B,TCL1A,CD79A,CD74,HLA-DRA,IGLC3
-1.89078,7.392747,Normoblast,HBD,HBB,HBM,CA1,HBA2,HBA1,AHSP,PRDX2
14.984156,17.48908,Naive CD20+ B IGKC+,IGKC,IGHM,HLA-DRA,CD74,CD79A,HLA-DPB1,HLA-DRB1,HLA-DPA1
