gene,mean_contribution,sem_contribution,cell_type
AL627309.5,0.0,0.0,Reticulocyte
LINC01409,0.0,0.0,Reticulocyte
LINC01128,0.0,0.0,Reticulocyte
LINC00115,0.0,0.0,Reticulocyte
FAM41C,0.0,0.0,Reticulocyte
NOC2L,0.0,0.0,Reticulocyte
KLHL17,0.0,0.0,Reticulocyte
HES4,6e-08,0.0,Reticulocyte
ISG15,0.000288,0.0,Reticulocyte
AGRN,0.0,0.0,Reticulocyte
C1orf159,0.0,0.0,Reticulocyte
TNFRSF18,3.5e-06,0.0,Reticulocyte
TNFRSF4,1.466e-05,0.0,Reticulocyte
SDF4,0.0,0.0,Reticulocyte
B3GALT6,0.0,0.0,Reticulocyte
C1QTNF12,0.0,0.0,Reticulocyte
UBE2J2,0.0,0.0,Reticulocyte
SCNN1D,0.0,0.0,Reticulocyte
ACAP3,0.0,0.0,Reticulocyte
PUSL1,0.0,0.0,Reticulocyte
INTS11,0.0,0.0,Reticulocyte
CPTP,0.0,0.0,Reticulocyte
DVL1,0.0,0.0,Reticulocyte
AURKAIP1,0.0,0.0,Reticulocyte
CCNL2,0.0,0.0,Reticulocyte
MRPL20-AS1,0.0,0.0,Reticulocyte
MRPL20,0.0,0.0,Reticulocyte
ATAD3C,0.0,0.0,Reticulocyte
ATAD3B,0.0,0.0,Reticulocyte
ATAD3A,0.0,0.0,Reticulocyte
SSU72,0.0,0.0,Reticulocyte
AL645728.1,1.264e-05,0.0,Reticulocyte
FNDC10,0.0,0.0,Reticulocyte
AL691432.2,0.0,0.0,Reticulocyte
MIB2,5.99e-05,0.0,Reticulocyte
MMP23B,1.43e-06,0.0,Reticulocyte
CDK11B,0.0,0.0,Reticulocyte
FO704657.1,0.0,0.0,Reticulocyte
SLC35E2B,0.0,0.0,Reticulocyte
CDK11A,0.0,0.0,Reticulocyte
SLC35E2A,0.0,0.0,Reticulocyte
NADK,0.0,0.0,Reticulocyte
GNB1,0.0,0.0,Reticulocyte
PRKCZ,7e-07,0.0,Reticulocyte
AL590822.2,0.0,0.0,Reticulocyte
FAAP20,0.0,0.0,Reticulocyte
SKI,0.0,0.0,Reticulocyte
MORN1,0.0,0.0,Reticulocyte
RER1,0.0,0.0,Reticulocyte
PEX10,0.0,0.0,Reticulocyte
PLCH2,0.0,0.0,Reticulocyte
PANK4,0.0,0.0,Reticulocyte
AL139246.5,1.955e-05,0.0,Reticulocyte
TNFRSF14-AS1,0.0,0.0,Reticulocyte
TNFRSF14,0.0,0.0,Reticulocyte
AL139246.3,0.0,0.0,Reticulocyte
PRXL2B,2.4e-06,0.0,Reticulocyte
TTC34,0.0,0.0,Reticulocyte
MEGF6,0.0,0.0,Reticulocyte
TPRG1L,0.0,0.0,Reticulocyte
WRAP73,0.0,0.0,Reticulocyte
SMIM1,0.0003636,0.0,Reticulocyte
